,0,1,2,3,4,5
1471-2334,1688.5104166666667,1690.9920930232558,1685.7816129032258,1722.211,1679.1911764705883,1611.07
1471-2393,1712.5590476190478,1655.851724137931,1623.5811538461542,1619.4159523809524,1738.2052380952384,1848.27
1471-2490,1627.92,1571.62,1872.46,,1637.78,1810.0
1476-4598,1602.8755555555554,1685.7737499999998,1691.366,1743.5974999999999,,2541.5
1741-7015,2244.8974999999996,2142.0,2268.5170833333336,2252.3014285714285,2349.165,2681.92
1743-0003,1499.99,1666.8249999999998,1683.783333333333,1726.7633333333335,1776.7358333333334,1995.0372727272727
1756-8935,1942.2633333333333,1632.2633333333333,1684.075,1955.4633333333331,2325.976666666667,2324.07
2046-4053,1950.0983333333334,1871.3997142857143,1877.9207692307693,1802.057894736842,1812.9027272727274,1550.0433333333333
2051-5960,1161.843,1084.9931034482756,1090.0914285714287,1187.5175000000002,1549.51375,2304.146666666666
1756-8722,1707.99,1931.58,2083.96,,2549.575,3418.5
2044-6055,1893.3349242424244,1649.050853080569,1515.6478326996198,1615.9313599999998,1622.5597435897437,1575.9948387096772
1740-2522,,,,,,
1534-7362,1743.3965217391303,1763.4296,1741.315925925926,1715.3015151515153,1946.3547619047622,1912.854
1758-7360,,,,,,
1471-213X,1703.7266666666667,1626.4916666666668,1840.4,1619.935,1618.0166666666667,
1472-6831,1724.237857142857,1723.1306666666667,1733.3883333333333,1648.155,1664.1572727272724,1786.7959999999998
1472-6890,1502.18,,,,,
1475-2859,1421.358125,1474.823846153846,1825.2206666666668,1636.7526666666665,1857.6185714285714,2095.0971428571424
1742-2094,1727.9821428571431,1868.6825,1883.9115384615384,1909.7063157894736,1909.6400000000003,2150.8022222222226
1746-4269,1808.39,1629.04,1669.7433333333336,1891.62,,
1746-4811,1506.6924999999999,1548.45,1742.105,1766.1416666666667,1880.2585714285717,2107.5166666666664
1747-1028,,,,2057.53,1785.0,
1747-5341,1351.84,1661.24,1602.915,,1009.12,
1748-7188,1355.4783333333332,1384.08,1595.93,1621.8025,,1419.0
1749-8090,1687.706666666667,1763.0266666666669,1660.4057142857143,1740.25,1615.542,1739.74
0044-605X,1787.9260000000002,1619.449411764706,1678.4363636363635,1671.0738095238096,1765.571428571429,1934.1628571428573
1752-1947,830.7627272727273,874.0577777777778,875.6550000000001,1001.03,1062.67,
1866-1947,2084.3733333333334,2003.762,1795.8379999999997,1708.44,,
2194-3206,,,764.64,,,
1424-2818,844.5099999999999,670.0,726.12,1384.0,776.79,1238.8681818181817
1420-3049,1677.3705714285716,1497.364782608696,1603.7978723404256,1333.4153424657536,1413.0182014388488,1671.4264062500001
2071-1050,1052.6816666666666,1024.5202631578948,1142.9665277777776,1076.6264324324325,1176.6242007434944,1476.128146551724
1942-0889,763.77,1683.54,791.265,2029.77,,
