,0,1,2,3,4,5
2215-017X,,1352.94,1431.675,1647.5466666666664,1104.0,
2227-7102,,271.905,321.5,,574.2786666666667,
2311-2638,,570.365,844.21375,1135.0633333333333,1203.69,
2235-767X,267.75,,,,,
1812-2116,1310.7211764705883,1003.7066666666666,1714.0,,,
2150-8925,1425.8063636363636,1181.8641666666667,1265.2904,1292.3835714285713,1309.0483333333334,
2352-3409,683.2157142857142,385.2150000000001,466.87627906976746,479.7110810810811,504.178,618.8
1694-2493,138.71499999999997,,193.03,261.9,215.683,
1948-6596,223.85,,,,,
2056-9890,169.97875,186.86714285714285,223.38043478260866,242.38299999999998,283.7127272727273,
1925-0754,311.0,,,,,
2051-3933,1853.56,1512.2633333333335,1800.0,1628.1266666666668,1605.5833333333333,
1680-7375,1271.139333333333,1137.9685714285713,1622.0585714285714,2220.5499999999997,,
2191-1991,884.1949999999999,986.848,855.6716666666667,1133.118,1485.02,
1999-4907,890.8227777777779,864.4986666666666,980.8236666666667,971.5494736842105,1311.0941304347825,488.8
1996-0832,,,,,,
2164-5167,,,,,450.0,
1913-9012,,,333.07,,,
1314-4049,,,442.5,1877.714,407.375,
2278-098X,,,,,,
1945-4589,2532.11,2393.7699999999995,2725.079,2976.2975,3312.376666666667,
0144-8463,955.5630000000001,1072.9859999999999,846.932,1155.5859999999998,1393.4099999999999,
1991-637X,,,300.0,511.2,,
2151-4755,915.0,839.1266666666667,,856.77,952.68,
2227-9040,,,,,,
2047-7538,3425.0600000000004,3389.045384615385,3346.471111111111,3096.72,3203.79,3570.0
1600-5368,149.58,,,,,
1943-0655,1201.9466666666667,1344.22,1082.1042857142857,1137.7325,1396.9775,
1687-6075,185.0,,,,,
1687-7195,,,,,1120.17,
1687-9104,,851.64,771.65,,,
2090-5130,,,,,,
1687-7357,174.99,,,,1008.14,
2090-3502,,,,,,
1559-4106,,,,,,
1687-1499,906.2283333333334,1011.6033333333334,1127.8600000000001,1277.8700000000001,1338.22,
1749-8104,2002.618333333333,2010.3333333333333,1734.0975,1926.06,,
2192-0567,775.26,812.3333333333334,834.4733333333334,861.8000000000001,1096.1125,
2192-113X,528.0,,720.1233333333333,698.78,818.72,
2159-3930,1251.879,2044.81,1391.9293333333335,1860.9753846153844,1689.5827777777781,
1662-4548,,,,,,
1999-4893,,189.37,557.0,289.365,764.3828571428572,
1999-5903,,,536.7049999999999,307.03,560.4100000000001,
1424-8247,,627.19,565.8,601.36,752.125,
2155-9821,1632.43,,,,,
2153-1196,,1127.3274999999999,1101.24,,,
2151-481X,,,751.06,,,
2090-4681,,,,,,
1868-6648,,,,,,
1452-3981,500.0,761.345,500.0,,595.0,
1748-9326,1681.2476923076924,1719.4950000000003,1594.0275,1829.7396428571428,1832.0879310344826,2142.0
1467-4866,691.2633333333333,,,,996.1,
1743-8977,1547.2800000000002,1879.8080000000002,1687.033333333333,1765.15,1868.18,
2195-9706,1904.0,,,,1025.865,
2046-1402,793.1583333333333,899.118,697.3321428571429,685.9314999999999,872.5911111111111,551.27
2077-0472,,,455.6775,461.67142857142863,569.5162499999999,
2073-4360,940.44,1227.3266666666668,1205.335652173913,1171.74775,1096.2153488372091,
1600-0889,1242.3681818181817,1620.6,1818.6666666666667,1418.6666666666667,1626.2440000000001,
2192-4880,,,,,,
2198-9281,,,,,,
2160-3308,1639.5583333333332,1938.93,2422.9896875,2916.1474999999996,2786.401818181818,3416.95
1479-5868,2168.2495833333332,1801.79125,2034.5016666666668,2149.0154545454543,2209.552857142857,
1687-2770,346.61,,,,,
1744-8603,1999.8375,1774.034,1669.0376923076922,1650.9872727272727,1690.5999999999997,
1752-4458,,1773.35,1396.0,1593.9599999999998,,
2041-9139,1953.77,1670.08,1876.8020000000001,2152.022,2162.19,
1472-698X,1476.705,1854.38,1369.12,1986.1066666666666,1396.0,
1753-2000,1393.5639999999999,1561.6757142857143,1672.5880000000002,1661.7333333333333,1698.75,
2197-4314,922.24,,,1040.83,,
2348-9804,,611.12,,,,
2296-2565,1915.8975,1105.5566666666664,1616.589,1296.8666666666666,1714.9927272727275,
2163-9434,,,,,,
0161-1712,634.05,,,,,
1868-596X,1986.3428571428572,1987.8644444444444,2218.52,2004.6375,1666.3999999999999,2000.0
1471-2199,1588.4474999999998,1654.745,1432.82,1661.24,,
2050-7283,1661.695714285714,1695.5457142857142,1677.8516666666667,1592.6699999999998,1371.672,
2072-6643,1263.0355555555554,1393.744,1336.692857142857,1353.7391935483872,1488.3188000000002,1898.8050000000003
2213-1582,1357.345,1458.714,1547.671842105263,1709.4422222222227,1900.084,
1687-1847,561.68,,,986.5450000000001,1436.9250000000002,
0887-0446,1397.3,654.56,,,,
2072-6651,1223.4119999999998,1312.03,1311.2199999999998,1141.8195,1339.0836363636363,
2334-2536,1223.1675,1404.8285,2108.4723529411763,2494.7505263157896,2769.4400000000005,
2164-2850,1445.93,,336.815,351.95,,
1465-9921,,,,,,
1471-2253,1645.09,1670.0227272727273,1822.6625,1657.7780000000005,1746.0035,
1472-6807,1468.725,1601.12,1661.24,,1923.31,
1475-2840,2057.55,1827.392857142857,1779.0059999999999,2017.9685714285715,1861.3333333333333,
1476-069X,1601.75,1505.0319999999997,1590.4983333333337,1585.93,,
1477-9560,,1379.21,1661.24,1289.09,,
1710-1492,1661.24,1563.6799999999998,1548.9333333333334,1661.24,,
1749-7922,1456.58,,1661.24,,,
1752-2897,1316.95,1579.64,,,,
1756-6606,1743.2666666666667,1607.078,,1669.0949999999998,1661.425,
1478-6354,1839.0490000000002,2374.6633333333334,,2098.8,,
1465-5411,1594.6,,,,,
1759-8753,1786.42,1634.7150000000001,1745.0,1800.0,1637.75,
2046-0481,1408.96,,1479.3833333333332,,,
1129-2369,1397.6542857142856,1466.8700000000001,,1548.95,1721.3366666666668,
2169-2513,,,,,,
2211-1247,4258.61625,4230.592597402598,4713.15807017544,4782.879807692308,4454.208545454546,
0021-9738,3956.714,3558.5499999999997,4104.924444444445,4193.178666666667,4644.765,
2049-3002,2050.0,1746.6349999999998,1886.48,1899.24,2205.03,
1754-8403,2889.234375,3312.975454545455,3358.586153846154,3573.331333333333,3681.33,
2372-0964,,,,,,
1662-5218,,1710.46,1745.0449999999996,2041.09,1543.1654545454546,
2164-5612,,632.59,,,,
1927-0593,305.16499999999996,,,,,
2214-7829,370.36,1231.9666666666665,1399.87,1267.6225,1847.36,
1687-9627,,,,,,
2090-0023,,,,,,
2090-6668,,,,437.0,,
1741-427X,1122.625,2052.7075,1994.6,,2053.96,
1472-3646,,551.6,1187.66,,1243.9099999999999,
1745-6673,1566.845,1619.954,1773.7600000000002,1686.7666666666667,1796.605,
2040-7378,1517.75,1661.24,,,,
2194-7511,1014.14,,1356.6,1661.24,1704.08,
1178-6930,,2005.54,2377.62,2165.205,,
1660-3397,1525.3116666666665,1703.6,1577.8790000000001,1622.64875,1458.8007692307692,
1999-4915,1372.7084210526316,1373.8409523809523,1325.136,1201.3300000000002,1361.2640425531918,
2159-2535,,982.0,,,,
2157-7579,,,,,,
2325-7075,635.01,,,,,
1708-3087,1100.74125,1096.8457142857144,1008.2046666666666,1172.6929999999998,1128.5654545454547,
2152-7245,853.84,,,,,
2160-049X,,,,,,
1756-0381,1829.1,1572.8925,1587.7666666666667,,1591.55,
1752-153X,,,1370.23,,,
1477-5956,1579.86,,,,,
1745-6150,1764.5175,2017.6919999999998,1857.49,1661.24,1622.86,
1755-8794,1638.1633333333332,1538.25,1602.71,1445.244,1528.62,
1757-5036,,,,,,
1750-0680,672.0,985.8399999999999,990.5833333333334,908.24,,
1471-2091,1501.2033333333331,1608.19,,,1826.55,
1471-2210,,,,,,
1755-8417,,,,,,
1472-6947,1721.77,1637.2068421052631,1703.6484615384616,1670.6466666666665,1700.552857142857,
1744-8069,2120.975,2295.306666666667,2491.4333333333334,2687.16,2162.49,
2042-5783,,,,,,
1755-7682,262.44,,,,,
1478-7954,1666.6166666666668,1672.4366666666665,1666.114,,2076.65,
1742-6405,1561.28,1850.9099999999999,,1734.11,,
2042-1001,,,,,,
2192-2853,,,,,,
2193-9616,,,,,,
1687-6180,1010.7642857142857,1090.98,1057.2925,1011.78,1383.79,
2041-2223,1769.47,,,,,
